"","varname","term","AICcdiff","modname","estimate","std.error","df","t.value","p.value","sigma","logLik","BIC","deviance","R2m","R2c","nfix","nparam","modname2","modelformula","randompart","valuecol","var0","var1","var2","var3","varint1","varint2","varint3","nobs","AICc","modname3"
"1","Ca","(Intercept)",0,"Ca_ice_out_doy*Volume_m3",9.9,1.4,152,7.296,1.5e-11,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * Volume_m3","~1 | park_site","value","0","","","","","","",175,592.2,"vari1vari2"
"2","Ca","iceout_doy",0,"Ca_ice_out_doy*Volume_m3",-0.026,0.0036,152,-7.244,2e-11,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * Volume_m3","~1 | park_site","value","","1","","","","","",175,592.2,"vari1vari2"
"3","Ca","iceout_doy:volume",0,"Ca_ice_out_doy*Volume_m3",1.2e-07,2.4e-08,152,4.956,1.9e-06,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * Volume_m3","~1 | park_site","value","","","","","4","","",175,592.2,"vari1vari2"
"4","Ca","volume",0,"Ca_ice_out_doy*Volume_m3",-1.9e-05,1.1e-05,19,-1.779,0.091,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * Volume_m3","~1 | park_site","value","","","2","","","","",175,592.2,"vari1vari2"
"5","Ca","(Intercept)",0,"Ca_Volume_m3*ice_out_doy",9.9,1.4,152,7.296,1.5e-11,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"vari1*vari2","value_formodel ~ Volume_m3 * ice_out_doy","~1 | park_site","value","0","","","","","","",175,592.2,"vari1vari2"
"6","Ca","volume:iceout_doy",0,"Ca_Volume_m3*ice_out_doy",1.2e-07,2.4e-08,152,4.956,1.9e-06,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"vari1*vari2","value_formodel ~ Volume_m3 * ice_out_doy","~1 | park_site","value","","","","","4","","",175,592.2,"vari1vari2"
"7","Ca","volume",0,"Ca_Volume_m3*ice_out_doy",-1.9e-05,1.1e-05,19,-1.779,0.091,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"vari1*vari2","value_formodel ~ Volume_m3 * ice_out_doy","~1 | park_site","value","","","2","","","","",175,592.2,"vari1vari2"
"8","Ca","iceout_doy",0,"Ca_Volume_m3*ice_out_doy",-0.026,0.0036,152,-7.244,2e-11,0.9572,-292,614.9,583.9,0.02461,0.9425,4,4,"vari1*vari2","value_formodel ~ Volume_m3 * ice_out_doy","~1 | park_site","value","","1","","","","","",175,592.2,"vari1vari2"
"9","Ca","(Intercept)",8.69999999999993,"Ca_SWE_May_snotel*Volume_m3",6.9,1.2,152,5.708,5.8e-08,0.9859,-296.3,623.7,592.7,0.02744,0.9384,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * Volume_m3","~1 | park_site","value","0","","","","","","",175,600.9,"vari1vari2"
"10","Ca","SWE",8.69999999999993,"Ca_SWE_May_snotel*Volume_m3",-0.013,0.002,152,-6.359,2.3e-09,0.9859,-296.3,623.7,592.7,0.02744,0.9384,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * Volume_m3","~1 | park_site","value","","1","","","","","",175,600.9,"vari1vari2"
"11","Ca","SWE:volume",8.69999999999993,"Ca_SWE_May_snotel*Volume_m3",6.5e-08,1.7e-08,152,3.931,0.00013,0.9859,-296.3,623.7,592.7,0.02744,0.9384,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * Volume_m3","~1 | park_site","value","","","","","4","","",175,600.9,"vari1vari2"
"12","Ca","volume",8.69999999999993,"Ca_SWE_May_snotel*Volume_m3",-6e-06,9.9e-06,19,-0.6133,0.55,0.9859,-296.3,623.7,592.7,0.02744,0.9384,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * Volume_m3","~1 | park_site","value","","","2","","","","",175,600.9,"vari1vari2"
"13","Ca","(Intercept)",9.89999999999998,"Ca_ice_out_doy*hydro",5.9,3.3,152,1.758,0.081,0.9913,-296.9,624.8,593.8,0.09202,0.9405,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * hydro","~1 | park_site","value","0","","","","","","",175,602.1,"vari1vari2"
"14","Ca","hydro",9.89999999999998,"Ca_ice_out_doy*hydro",1.1,1.5,19,0.7323,0.47,0.9913,-296.9,624.8,593.8,0.09202,0.9405,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * hydro","~1 | park_site","value","","","2","","","","",175,602.1,"vari1vari2"
"15","Ca","iceout_doy:hydro",9.89999999999998,"Ca_ice_out_doy*hydro",-0.015,0.0042,152,-3.47,0.00068,0.9913,-296.9,624.8,593.8,0.09202,0.9405,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * hydro","~1 | park_site","value","","","","","4","","",175,602.1,"vari1vari2"
"16","Ca","iceout_doy",9.89999999999998,"Ca_ice_out_doy*hydro",0.017,0.0093,152,1.809,0.072,0.9913,-296.9,624.8,593.8,0.09202,0.9405,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * hydro","~1 | park_site","value","","1","","","","","",175,602.1,"vari1vari2"
"17","Ca","(Intercept)",9.89999999999998,"Ca_hydro*ice_out_doy",5.9,3.3,152,1.758,0.081,0.9913,-296.9,624.8,593.8,0.09202,0.9405,4,4,"vari1*vari2","value_formodel ~ hydro * ice_out_doy","~1 | park_site","value","0","","","","","","",175,602.1,"vari1vari2"
"18","Ca","hydro:iceout_doy",9.89999999999998,"Ca_hydro*ice_out_doy",-0.015,0.0042,152,-3.47,0.00068,0.9913,-296.9,624.8,593.8,0.09202,0.9405,4,4,"vari1*vari2","value_formodel ~ hydro * ice_out_doy","~1 | park_site","value","","","","","4","","",175,602.1,"vari1vari2"
"19","Ca","iceout_doy",9.89999999999998,"Ca_hydro*ice_out_doy",0.017,0.0093,152,1.809,0.072,0.9913,-296.9,624.8,593.8,0.09202,0.9405,4,4,"vari1*vari2","value_formodel ~ hydro * ice_out_doy","~1 | park_site","value","","1","","","","","",175,602.1,"vari1vari2"
"20","Ca","hydro",9.89999999999998,"Ca_hydro*ice_out_doy",1.1,1.5,19,0.7323,0.47,0.9913,-296.9,624.8,593.8,0.09202,0.9405,4,4,"vari1*vari2","value_formodel ~ hydro * ice_out_doy","~1 | park_site","value","","","2","","","","",175,602.1,"vari1vari2"
"21","Ca","(Intercept)",10.6999999999999,"Ca_days_since_iceout*Volume_m3",3.9,1.2,152,3.175,0.0018,0.9884,-297.3,625.7,594.7,0.01773,0.9408,4,4,"vari1*vari2","value_formodel ~ days_since_iceout * Volume_m3","~1 | park_site","value","0","","","","","","",175,602.9,"vari1vari2"
"22","Ca","days_since_iceout",10.6999999999999,"Ca_days_since_iceout*Volume_m3",0.024,0.0039,152,6.193,5.3e-09,0.9884,-297.3,625.7,594.7,0.01773,0.9408,4,4,"vari1*vari2","value_formodel ~ days_since_iceout * Volume_m3","~1 | park_site","value","","1","","","","","",175,602.9,"vari1vari2"
"23","Ca","volume",10.6999999999999,"Ca_days_since_iceout*Volume_m3",8.9e-06,9.9e-06,19,0.9011,0.38,0.9884,-297.3,625.7,594.7,0.01773,0.9408,4,4,"vari1*vari2","value_formodel ~ days_since_iceout * Volume_m3","~1 | park_site","value","","","2","","","","",175,602.9,"vari1vari2"
"24","Ca","days_since_iceout:volume",10.6999999999999,"Ca_days_since_iceout*Volume_m3",-1.2e-07,2.5e-08,152,-4.783,4e-06,0.9884,-297.3,625.7,594.7,0.01773,0.9408,4,4,"vari1*vari2","value_formodel ~ days_since_iceout * Volume_m3","~1 | park_site","value","","","","","4","","",175,602.9,"vari1vari2"
"25","Ca","(Intercept)",17.5999999999999,"Ca_SWE_May_snotel*hydro",8.4,2.9,152,2.904,0.0042,1.021,-300.8,632.6,601.6,0.09604,0.9339,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * hydro","~1 | park_site","value","0","","","","","","",175,609.8,"vari1vari2"
"26","Ca","SWE:hydro",17.5999999999999,"Ca_SWE_May_snotel*hydro",-0.0047,0.0022,152,-2.126,0.035,1.021,-300.8,632.6,601.6,0.09604,0.9339,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * hydro","~1 | park_site","value","","","","","4","","",175,609.8,"vari1vari2"
"27","Ca","SWE",17.5999999999999,"Ca_SWE_May_snotel*hydro",0.003,0.0049,152,0.6106,0.54,1.021,-300.8,632.6,601.6,0.09604,0.9339,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * hydro","~1 | park_site","value","","","2","","","","",175,609.8,"vari1vari2"
"28","Ca","hydro",17.5999999999999,"Ca_SWE_May_snotel*hydro",-0.87,1.3,19,-0.6865,0.5,1.021,-300.8,632.6,601.6,0.09604,0.9339,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * hydro","~1 | park_site","value","","1","","","","","",175,609.8,"vari1vari2"
"29","Ca","(Intercept)",17.9,"Ca_ice_out_doy+graywacke",7,1.1,153,6.55,8.3e-10,1.031,-302,629.8,603.9,0.1496,0.9341,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + graywacke","~1 | park_site","value","0","","","","","","",175,610.1,"vari1vari2"
"30","Ca","graywacke",17.9,"Ca_ice_out_doy+graywacke",0.034,0.018,19,1.908,0.072,1.031,-302,629.8,603.9,0.1496,0.9341,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + graywacke","~1 | park_site","value","","1","","","","","",175,610.1,"vari1vari2"
"31","Ca","iceout_doy",17.9,"Ca_ice_out_doy+graywacke",-0.014,0.0028,153,-4.942,2e-06,1.031,-302,629.8,603.9,0.1496,0.9341,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + graywacke","~1 | park_site","value","","","2","","","","",175,610.1,"vari1vari2"
"32","Ca","(Intercept)",18.5999999999999,"Ca_SWE_May_snotel+graywacke",5.5,0.95,153,5.8,3.7e-08,1.035,-302.3,630.5,604.7,0.1521,0.9328,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + graywacke","~1 | park_site","value","0","","","","","","",175,610.8,"vari1vari2"
"33","Ca","graywacke",18.5999999999999,"Ca_SWE_May_snotel+graywacke",0.032,0.017,19,1.831,0.083,1.035,-302.3,630.5,604.7,0.1521,0.9328,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + graywacke","~1 | park_site","value","","1","","","","","",175,610.8,"vari1vari2"
"34","Ca","SWE",18.5999999999999,"Ca_SWE_May_snotel+graywacke",-0.007,0.0014,153,-4.85,3e-06,1.035,-302.3,630.5,604.7,0.1521,0.9328,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + graywacke","~1 | park_site","value","","","2","","","","",175,610.8,"vari1vari2"
"35","Ca","(Intercept)",18.8,"Ca_ice_out_doy+hydro+graywacke",9.9,2.9,153,3.434,0.00077,1.031,-301.4,633.8,602.8,0.195,0.9345,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + graywacke","~1 | park_site","value","0","","","","","","",175,611,"vari1vari2vari3"
"36","Ca","graywacke",18.8,"Ca_ice_out_doy+hydro+graywacke",0.03,0.017,18,1.728,0.1,1.031,-301.4,633.8,602.8,0.195,0.9345,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + graywacke","~1 | park_site","value","","1","","","","","",175,611,"vari1vari2vari3"
"37","Ca","hydro",18.8,"Ca_ice_out_doy+hydro+graywacke",-1.2,1.2,18,-1.06,0.3,1.031,-301.4,633.8,602.8,0.195,0.9345,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + graywacke","~1 | park_site","value","","","2","","","","",175,611,"vari1vari2vari3"
"38","Ca","iceout_doy",18.8,"Ca_ice_out_doy+hydro+graywacke",-0.014,0.0029,153,-4.922,2.2e-06,1.031,-301.4,633.8,602.8,0.195,0.9345,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + graywacke","~1 | park_site","value","","","","3","","","",175,611,"vari1vari2vari3"
"39","Ca","(Intercept)",19.1999999999999,"Ca_ice_out_doy",8,1,153,7.942,4e-13,1.031,-303.7,628,607.3,0.01144,0.9342,2,2,"vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","0","","","","","","",175,611.4,"vari1"
"40","Ca","iceout_doy",19.1999999999999,"Ca_ice_out_doy",-0.014,0.0028,153,-4.942,2e-06,1.031,-303.7,628,607.3,0.01144,0.9342,2,2,"vari1","value_formodel ~ ice_out_doy","~1 | park_site","value","","1","","","","","",175,611.4,"vari1"
"41","Ca","(Intercept)",19.5,"Ca_SWE_May_snotel+hydro+graywacke",8.4,2.8,153,2.995,0.0032,1.035,-301.8,634.5,603.5,0.1984,0.9331,4,4,"vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + hydro + graywacke","~1 | park_site","value","0","","","","","","",175,611.7,"vari1vari2vari3"
"42","Ca","graywacke",19.5,"Ca_SWE_May_snotel+hydro+graywacke",0.029,0.017,18,1.649,0.12,1.035,-301.8,634.5,603.5,0.1984,0.9331,4,4,"vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + hydro + graywacke","~1 | park_site","value","","1","","","","","",175,611.7,"vari1vari2vari3"
"43","Ca","hydro",19.5,"Ca_SWE_May_snotel+hydro+graywacke",-1.3,1.2,18,-1.086,0.29,1.035,-301.8,634.5,603.5,0.1984,0.9331,4,4,"vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + hydro + graywacke","~1 | park_site","value","","","2","","","","",175,611.7,"vari1vari2vari3"
"44","Ca","SWE",19.5,"Ca_SWE_May_snotel+hydro+graywacke",-0.007,0.0014,153,-4.836,3.2e-06,1.035,-301.8,634.5,603.5,0.1984,0.9331,4,4,"vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + hydro + graywacke","~1 | park_site","value","","","","3","","","",175,611.7,"vari1vari2vari3"
"45","Ca","(Intercept)",19.5999999999999,"Ca_ice_out_doy+hydro",12,2.9,153,4,9.8e-05,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + hydro","~1 | park_site","value","0","","","","","","",175,611.8,"vari1vari2"
"46","Ca","hydro",19.5999999999999,"Ca_ice_out_doy+hydro",-1.6,1.2,19,-1.31,0.21,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + hydro","~1 | park_site","value","","1","","","","","",175,611.8,"vari1vari2"
"47","Ca","iceout_doy",19.5999999999999,"Ca_ice_out_doy+hydro",-0.014,0.0028,153,-4.922,2.2e-06,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + hydro","~1 | park_site","value","","","2","","","","",175,611.8,"vari1vari2"
"48","Ca","(Intercept)",19.5999999999999,"Ca_hydro+ice_out_doy",12,2.9,153,4,9.8e-05,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"vari1+vari2","value_formodel ~ hydro + ice_out_doy","~1 | park_site","value","0","","","","","","",175,611.8,"vari1vari2"
"49","Ca","hydro",19.5999999999999,"Ca_hydro+ice_out_doy",-1.6,1.2,19,-1.31,0.21,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"vari1+vari2","value_formodel ~ hydro + ice_out_doy","~1 | park_site","value","","1","","","","","",175,611.8,"vari1vari2"
"50","Ca","iceout_doy",19.5999999999999,"Ca_hydro+ice_out_doy",-0.014,0.0028,153,-4.922,2.2e-06,1.031,-302.8,631.5,605.7,0.08663,0.9345,3,3,"vari1+vari2","value_formodel ~ hydro + ice_out_doy","~1 | park_site","value","","","2","","","","",175,611.8,"vari1vari2"
"51","Ca","(Intercept)",19.6999999999999,"Ca_SWE_May_snotel",6.4,0.87,153,7.407,8.1e-12,1.035,-303.9,628.5,607.8,0.01471,0.9322,2,2,"vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","0","","","","","","",175,611.9,"vari1"
"52","Ca","SWE",19.6999999999999,"Ca_SWE_May_snotel",-0.007,0.0014,153,-4.877,2.7e-06,1.035,-303.9,628.5,607.8,0.01471,0.9322,2,2,"vari1","value_formodel ~ SWE_May_snotel","~1 | park_site","value","","1","","","","","",175,611.9,"vari1"
"53","Ca","(Intercept)",19.9,"Ca_ice_out_doy*graywacke",7.1,1.2,152,6.09,8.8e-09,1.031,-301.9,634.8,603.9,0.1496,0.9342,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * graywacke","~1 | park_site","value","0","","","","","","",175,612.1,"vari1vari2"
"54","Ca","iceout_doy",19.9,"Ca_ice_out_doy*graywacke",-0.015,0.0038,152,-3.873,0.00016,1.031,-301.9,634.8,603.9,0.1496,0.9342,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * graywacke","~1 | park_site","value","","1","","","","","",175,612.1,"vari1vari2"
"55","Ca","graywacke",19.9,"Ca_ice_out_doy*graywacke",0.031,0.021,19,1.482,0.15,1.031,-301.9,634.8,603.9,0.1496,0.9342,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * graywacke","~1 | park_site","value","","","2","","","","",175,612.1,"vari1vari2"
"56","Ca","iceout_doy:graywacke",19.9,"Ca_ice_out_doy*graywacke",1.5e-05,5.8e-05,152,0.2662,0.79,1.031,-301.9,634.8,603.9,0.1496,0.9342,4,4,"vari1*vari2","value_formodel ~ ice_out_doy * graywacke","~1 | park_site","value","","","","","4","","",175,612.1,"vari1vari2"
"57","Ca","(Intercept)",20,"Ca_ice_out_doy+Volume_m3+graywacke",7.1,1.3,153,5.506,1.5e-07,1.031,-302,634.9,603.9,0.1498,0.9341,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + Volume_m3 + graywacke","~1 | park_site","value","0","","","","","","",175,612.2,"vari1vari2vari3"
"58","Ca","volume",20,"Ca_ice_out_doy+Volume_m3+graywacke",-6.2e-07,9.1e-06,18,-0.06782,0.95,1.031,-302,634.9,603.9,0.1498,0.9341,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + Volume_m3 + graywacke","~1 | park_site","value","","","","3","","","",175,612.2,"vari1vari2vari3"
"59","Ca","graywacke",20,"Ca_ice_out_doy+Volume_m3+graywacke",0.034,0.018,18,1.884,0.076,1.031,-302,634.9,603.9,0.1498,0.9341,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + Volume_m3 + graywacke","~1 | park_site","value","","1","","","","","",175,612.2,"vari1vari2vari3"
"60","Ca","iceout_doy",20,"Ca_ice_out_doy+Volume_m3+graywacke",-0.014,0.0029,153,-4.928,2.1e-06,1.031,-302,634.9,603.9,0.1498,0.9341,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + Volume_m3 + graywacke","~1 | park_site","value","","","2","","","","",175,612.2,"vari1vari2vari3"
"61","Ca","(Intercept)",20.0999999999999,"Ca_SWE_May_snotel+hydro",10,2.8,153,3.568,0.00048,1.035,-303.1,632,606.1,0.09157,0.9325,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + hydro","~1 | park_site","value","0","","","","","","",175,612.3,"vari1vari2"
"62","Ca","hydro",20.0999999999999,"Ca_SWE_May_snotel+hydro",-1.6,1.2,19,-1.328,0.2,1.035,-303.1,632,606.1,0.09157,0.9325,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + hydro","~1 | park_site","value","","1","","","","","",175,612.3,"vari1vari2"
"63","Ca","SWE",20.0999999999999,"Ca_SWE_May_snotel+hydro",-0.007,0.0014,153,-4.862,2.9e-06,1.035,-303.1,632,606.1,0.09157,0.9325,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + hydro","~1 | park_site","value","","","2","","","","",175,612.3,"vari1vari2"
"64","Ca","(Intercept)",20.3,"Ca_SWE_May_snotel*graywacke",5.4,0.97,152,5.572,1.1e-07,1.034,-302.1,635.2,604.2,0.1518,0.933,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * graywacke","~1 | park_site","value","0","","","","","","",175,612.5,"vari1vari2"
"65","Ca","graywacke",20.3,"Ca_SWE_May_snotel*graywacke",0.035,0.018,19,1.937,0.068,1.034,-302.1,635.2,604.2,0.1518,0.933,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * graywacke","~1 | park_site","value","","1","","","","","",175,612.5,"vari1vari2"
"66","Ca","SWE",20.3,"Ca_SWE_May_snotel*graywacke",-0.0063,0.0018,152,-3.481,0.00065,1.034,-302.1,635.2,604.2,0.1518,0.933,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * graywacke","~1 | park_site","value","","","2","","","","",175,612.5,"vari1vari2"
"67","Ca","SWE:graywacke",20.3,"Ca_SWE_May_snotel*graywacke",-2.1e-05,3e-05,152,-0.6776,0.5,1.034,-302.1,635.2,604.2,0.1518,0.933,4,4,"vari1*vari2","value_formodel ~ SWE_May_snotel * graywacke","~1 | park_site","value","","","","","4","","",175,612.5,"vari1vari2"
"68","Ca","(Intercept)",20.6999999999999,"Ca_SWE_May_snotel+Volume_m3+graywacke",5.5,1.2,153,4.661,6.8e-06,1.035,-302.3,635.7,604.7,0.1517,0.9328,4,4,"vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Volume_m3 + graywacke","~1 | park_site","value","0","","","","","","",175,612.9,"vari1vari2vari3"
"69","Ca","volume",20.6999999999999,"Ca_SWE_May_snotel+Volume_m3+graywacke",5.3e-07,9.1e-06,18,0.05872,0.95,1.035,-302.3,635.7,604.7,0.1517,0.9328,4,4,"vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Volume_m3 + graywacke","~1 | park_site","value","","","","3","","","",175,612.9,"vari1vari2vari3"
"70","Ca","graywacke",20.6999999999999,"Ca_SWE_May_snotel+Volume_m3+graywacke",0.032,0.018,18,1.786,0.091,1.035,-302.3,635.7,604.7,0.1517,0.9328,4,4,"vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Volume_m3 + graywacke","~1 | park_site","value","","1","","","","","",175,612.9,"vari1vari2vari3"
"71","Ca","SWE",20.6999999999999,"Ca_SWE_May_snotel+Volume_m3+graywacke",-0.007,0.0014,153,-4.836,3.2e-06,1.035,-302.3,635.7,604.7,0.1517,0.9328,4,4,"vari1+vari2+vari3","value_formodel ~ SWE_May_snotel + Volume_m3 + graywacke","~1 | park_site","value","","","2","","","","",175,612.9,"vari1vari2vari3"
"72","Ca","(Intercept)",21.1999999999999,"Ca_ice_out_doy+andesite",7.8,1.1,153,7.161,3.1e-11,1.031,-303.6,633,607.2,0.0192,0.9344,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + andesite","~1 | park_site","value","0","","","","","","",175,613.4,"vari1vari2"
"73","Ca","iceout_doy",21.1999999999999,"Ca_ice_out_doy+andesite",-0.014,0.0028,153,-4.919,2.2e-06,1.031,-303.6,633,607.2,0.0192,0.9344,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + andesite","~1 | park_site","value","","1","","","","","",175,613.4,"vari1vari2"
"74","Ca","andesite",21.1999999999999,"Ca_ice_out_doy+andesite",0.0078,0.023,19,0.3436,0.73,1.031,-303.6,633,607.2,0.0192,0.9344,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + andesite","~1 | park_site","value","","","2","","","","",175,613.4,"vari1vari2"
"75","Ca","(Intercept)",21.1999999999999,"Ca_ice_out_doy+Volume_m3",7.8,1.3,153,5.917,2.1e-08,1.031,-303.6,633.1,607.3,0.01452,0.9343,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + Volume_m3","~1 | park_site","value","0","","","","","","",175,613.4,"vari1vari2"
"76","Ca","iceout_doy",21.1999999999999,"Ca_ice_out_doy+Volume_m3",-0.014,0.0028,153,-4.926,2.2e-06,1.031,-303.6,633.1,607.3,0.01452,0.9343,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + Volume_m3","~1 | park_site","value","","1","","","","","",175,613.4,"vari1vari2"
"77","Ca","volume",21.1999999999999,"Ca_ice_out_doy+Volume_m3",2.4e-06,9.7e-06,19,0.2524,0.8,1.031,-303.6,633.1,607.3,0.01452,0.9343,3,3,"vari1+vari2","value_formodel ~ ice_out_doy + Volume_m3","~1 | park_site","value","","","2","","","","",175,613.4,"vari1vari2"
"78","Ca","(Intercept)",21.1999999999999,"Ca_Volume_m3+ice_out_doy",7.8,1.3,153,5.917,2.1e-08,1.031,-303.6,633.1,607.3,0.01452,0.9343,3,3,"vari1+vari2","value_formodel ~ Volume_m3 + ice_out_doy","~1 | park_site","value","0","","","","","","",175,613.4,"vari1vari2"
"79","Ca","iceout_doy",21.1999999999999,"Ca_Volume_m3+ice_out_doy",-0.014,0.0028,153,-4.926,2.2e-06,1.031,-303.6,633.1,607.3,0.01452,0.9343,3,3,"vari1+vari2","value_formodel ~ Volume_m3 + ice_out_doy","~1 | park_site","value","","1","","","","","",175,613.4,"vari1vari2"
"80","Ca","volume",21.1999999999999,"Ca_Volume_m3+ice_out_doy",2.4e-06,9.7e-06,19,0.2524,0.8,1.031,-303.6,633.1,607.3,0.01452,0.9343,3,3,"vari1+vari2","value_formodel ~ Volume_m3 + ice_out_doy","~1 | park_site","value","","","2","","","","",175,613.4,"vari1vari2"
"81","Ca","(Intercept)",21.5,"Ca_SWE_May_snotel+andesite",6.2,0.96,153,6.503,1.1e-09,1.035,-303.8,633.4,607.6,0.02337,0.9319,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + andesite","~1 | park_site","value","0","","","","","","",175,613.7,"vari1vari2"
"82","Ca","SWE",21.5,"Ca_SWE_May_snotel+andesite",-0.007,0.0014,153,-4.871,2.7e-06,1.035,-303.8,633.4,607.6,0.02337,0.9319,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + andesite","~1 | park_site","value","","1","","","","","",175,613.7,"vari1vari2"
"83","Ca","andesite",21.5,"Ca_SWE_May_snotel+andesite",0.012,0.022,19,0.5318,0.6,1.035,-303.8,633.4,607.6,0.02337,0.9319,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + andesite","~1 | park_site","value","","","2","","","","",175,613.7,"vari1vari2"
"84","Ca","(Intercept)",21.6999999999999,"Ca_SWE_May_snotel+Volume_m3",6.1,1.2,153,5.139,8.3e-07,1.035,-303.9,633.5,607.7,0.01782,0.932,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + Volume_m3","~1 | park_site","value","0","","","","","","",175,613.9,"vari1vari2"
"85","Ca","SWE",21.6999999999999,"Ca_SWE_May_snotel+Volume_m3",-0.007,0.0014,153,-4.867,2.8e-06,1.035,-303.9,633.5,607.7,0.01782,0.932,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + Volume_m3","~1 | park_site","value","","1","","","","","",175,613.9,"vari1vari2"
"86","Ca","volume",21.6999999999999,"Ca_SWE_May_snotel+Volume_m3",3.4e-06,9.5e-06,19,0.3579,0.72,1.035,-303.9,633.5,607.7,0.01782,0.932,3,3,"vari1+vari2","value_formodel ~ SWE_May_snotel + Volume_m3","~1 | park_site","value","","","2","","","","",175,613.9,"vari1vari2"
"87","Ca","(Intercept)",21.6999999999999,"Ca_ice_out_doy+hydro+andesite",11,3,153,3.756,0.00025,1.031,-302.8,636.6,605.7,0.08776,0.9346,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + andesite","~1 | park_site","value","0","","","","","","",175,613.9,"vari1vari2vari3"
"88","Ca","hydro",21.6999999999999,"Ca_ice_out_doy+hydro+andesite",-1.6,1.3,18,-1.261,0.22,1.031,-302.8,636.6,605.7,0.08776,0.9346,4,4,"vari1+vari2+vari3","value_formodel ~ ice_out_doy + hydro + andesite","~1 | park_site","value","","1","","","","","",175,613.9,"vari1vari2vari3"
